Description,,Summary Amt.
Beginning balance as of 01/01/2026,,"2,450.00"
Total credits,,"1,927.68"
Total debits,,"-1,650.24"
Ending balance as of 01/30/2026,,"2,727.44"

Date,Description,Amount,Running Bal.
01/01/2026,Beginning balance as of 01/01/2026,,"2,450.00"
01/03/2026,Zelle payment from ALEX RIVERA for dinner; Conf# ab12cd34e,32.50,"2,482.50"
01/04/2026,Zelle payment to MORGAN LEE for groceries; Conf# fg56hi78j,-18.25,"2,464.25"
01/06/2026,Online Banking transfer from CHK 1234 Confirmation# 1029384756,600.00,"3,064.25"
01/07/2026,CAMPUS HOUSING DES:WEB PMTS ID:AB12CD INDN:Sample User CO ID:1234567890 WEB,-725.00,"2,339.25"
01/09/2026,BROKERAGE TRANSFER DES:Funds ID:987654321 INDN:Sample User CO ID:1122334455 WEB,-100.00,"2,239.25"
01/12/2026,PAYROLL DIRECT DEP DES:PAYROLL ID:004821 INDN:Sample User CO ID:5566778899 PPD,"1,250.00","3,489.25"
01/13/2026,Zelle payment to STUDENT ORGANIZATION Conf# kl90mn12o,-20.00,"3,469.25"
01/15/2026,CITY ELECTRIC UTIL PAYMENT 8005550100 CA,-54.82,"3,414.43"
01/18/2026,ATM CASH WITHDRAWAL 01/18 123 MAIN ST NEW YORK CA,-40.00,"3,374.43"
01/20/2026,Online Banking payment to CRD 5678 Confirmation# 5647382910,-612.43,"2,762.00"
01/22/2026,Zelle payment from JAMIE PARK for tickets; Conf# pq34rs56t,45.00,"2,807.00"
01/24/2026,STREAMING SERVICE DES:AUTOPAY ID:550011 INDN:Sample User CO ID:6677889900 WEB,-14.99,"2,792.01"
01/26/2026,MOBILE PHONE PAYMENT 8005550199 TX,-48.00,"2,744.01"
01/28/2026,Zelle payment to CASEY WONG for lunch; Conf# uv78wx90y,-16.75,"2,727.26"
01/30/2026,INTEREST PAYMENT,0.18,"2,727.44"
