Posted Date,Reference Number,Payee,Address,Amount
07/15/2026,24793386195003894755084,RIVERSTONE WELLNESS NEW YORK CA,NEW YORK        CA ,-85.00
07/13/2026,24692166193409506696147,SUNSET BURGER - 104 NEW YORK CA,NEW YORK        CA ,-12.40
07/13/2026,24692166192408830551367,SQ *MAPLE CAFE NEW YORK CA,NEW YORK        CA ,-6.75
07/09/2026,18920401050079552671713,PAYMENT FROM CHK 1234 CONF#ab12cd34e,,425.00
07/08/2026,24692166189405178272882,METRO COFFEE 8005550112 WA,800-555-0112  WA ,-18.50
07/08/2026,24275396188900012400664,GOLDEN TOFU HOUSE SEATTLE WA,SEATTLE       WA ,-42.30
07/08/2026,24692166188404916665227,SQ *HARBOR GRILL SEATTLE WA,SEATTLE       WA ,-21.80
07/08/2026,24492166189100001593057,CLOUD NOTES SUBSCRIPTION ONLINE CA,ONLINE        CA ,-9.99
07/07/2026,24688076187030021726113,JASMINE TEA SEATTLE WA,SEATTLE       WA ,-7.25
07/06/2026,24333226187812148352091,PACIFIC MARKET SEATTLE WA,SEATTLE       WA ,-27.64
07/06/2026,24493986186232536236051,CITY TRANSIT*00AB12 2065550101 WA,206-555-0101  WA ,-3.00
07/06/2026,24692166185402149932748,SQ *GREEN BOWL SEATTLE WA,SEATTLE       WA ,-15.45
07/04/2026,24493986185232294740634,CITY TRANSIT*00CD34 2065550101 WA,206-555-0101  WA ,-3.00
07/03/2026,24431066184460798431163,BURRITO HOUSE ONLINE SACRAMENTO CA,SACRAMENTO    CA ,-11.20
07/02/2026,24755426183161832704947,NORTHSTAR BISTRO SEATTLE WA,SEATTLE       WA ,-24.18
07/02/2026,18220401050079949155237,PAYMENT FROM CHK 1234 CONF#ef56gh78i,,300.00
07/01/2026,18286000000286954964336,CASH REWARDS STATEMENT CREDIT,,18.75
07/01/2026,24755426181161818747110,PIKE STREET MARKET SEATTLE WA,SEATTLE       WA ,-38.62
06/30/2026,24765016181804907292715,HARBOR SUSHI BAR SEATTLE WA,SEATTLE       WA ,-22.10
06/29/2026,24692166178407287299155,TST*SUNRISE WAFFLES SEATTLE WA,SEATTLE       WA ,-13.80
